,EIN,Tax Year,Name,NAME,STATE,NAICS,NTEEFINAL
27,10163098,2019,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812,ME,712120.0,A80
52,10217324,2019,HISTORY HOUSE ASSOCIATION INC,HISTORY HOUSE ASSOCIATION INC,ME,712120.0,A80
74,10265029,2019,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,CO,712120.0,A80
101,10287586,2017,CUSHING HISTORICAL SOCIETY,CUSHING HISTORICAL SOCIETY,ME,712120.0,A82
111,10316968,2010,ISLESBORO HISTORICAL SOCIETY,ISLESBORO HISTORICAL SOCIETY,ME,712120.0,A82
142,10339467,2019,CANTON HISTORICAL SOCIETY,CANTON HISTORICAL SOCIETY,ME,712120.0,A82
146,10340467,2019,OAKLAND AREA HISTORICAL SOCIETY,OAKLAND AREA HISTORICAL SOCIETY,ME,712120.0,A82
149,10341082,2019,AROOSTOOK COUNTY HISTORICAL AND ART MUSEUM OF HOULTON,AROOSTOOK COUNTY HISTORICAL AND ART MUSEUM OF HOULTON,ME,712110.0,A54
154,10341794,2019,HISTORICAL SOCIETY OF LITCHFIELD,HISTORICAL SOCIETY OF LITCHFIELD,ME,712120.0,A82
156,10342161,2019,LUBEC HISTORICAL SOCIETY INC,LUBEC HISTORICAL SOCIETY INC,ME,712120.0,A82
157,10342762,2019,ANDROSCOGGIN HISTORICAL SOCIETY,ANDROSCOGGIN HISTORICAL SOCIETY,ME,712120.0,A82
159,10343126,2019,LINCOLN HISTORICAL SOCIETY I,LINCOLN HISTORICAL SOCIETY I,ME,712120.0,A82
166,10344595,2018,HARRISON HISTORICAL SOCIETY,HARRISON HISTORICAL SOCIETY,ME,712120.0,A82
168,10344774,2018,WINTER HARBOR HISTORICAL SOCIETY,WINTER HARBOR HISTORICAL SOCIETY,ME,712120.0,A82
171,10345176,2019,THOMASTON HISTORICAL SOCIETY,THOMASTON HISTORICAL SOCIETY,ME,712120.0,A82
173,10345491,2019,ANDOVER HISTORICAL SOCIETY,ANDOVER HISTORICAL SOCIETY,ME,712120.0,A82
177,10345704,2017,STOCKTON SPRINGS HISTORICAL SOCIETY INC,STOCKTON SPRINGS HISTORICAL SOCIETY INC,ME,712120.0,A82
188,10346187,2019,FRYEBURG HISTORICAL SOCIETY,FRYEBURG HISTORICAL SOCIETY,ME,712120.0,A82
