,EIN,Tax Year,Name,NAME,STATE,NAICS,NTEEFINAL
4,10024155,2018,BANGOR BAND,BANGOR BAND,ME,711130.0,A6C
118,10324011,2018,BRUNSWICK REGIONAL YOUTH ORCHESTRA,BRUNSWICK REGIONAL YOUTH ORCHESTRA,ME,711130.0,A69
120,10325659,2019,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,ME,711130.0,A6B
196,10347213,2019,DANCE IN MAINE,DANCE IN MAINE,ME,711120.0,A62
271,10359952,2019,SHOESTRING THEATRE INC,SHOESTRING THEATRE INC,ME,711110.0,A65
313,10366427,2018,KENNEBEC PERFORMING ARTS COMPANY,KENNEBEC PERFORMING ARTS COMPANY,ME,711130.0,A69
317,10366662,2019,BLUE HILL CONCERT ASSOCIATION,BLUE HILL CONCERT ASSOCIATION,ME,711130.0,A68
333,10368723,2019,HOULTON CHILDRENS THEATRE INC,HOULTON CHILDRENS THEATRE INC,ME,711110.0,A65
340,10369822,2019,MACHIAS BAY CHAMBER CONCERTS INC,MACHIAS BAY CHAMBER CONCERTS INC,ME,711130.0,A68
354,10371931,2015,BOY SINGERS OF MAINE,BOY SINGERS OF MAINE,ME,711130.0,A6B
379,10376675,2019,PEOPLE TO PEOPLE DANCE COMPANY,PEOPLE TO PEOPLE DANCE COMPANY,ME,711120.0,A62
448,10387694,2018,CENTER FOR CULTURAL EXCHANGE,CENTER FOR CULTURAL EXCHANGE,ME,711100.0,A61
509,10404282,2019,SOCIETY FOR PRESERVATION &AMP ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,ME,711130.0,A6B
514,10405683,2019,SANFORD MAINE STAGE COMPANY INC,SANFORD MAINE STAGE COMPANY INC,ME,711110.0,A65
529,10411643,2019,MCGILLS COMMUNITY BAND,MCGILLS COMMUNITY BAND,ME,711130.0,A6C
540,10413944,2019,PINE TREE CHAPTER AMERICAN THEATRE ORGAN SOCIETY INC,PINE TREE CHAPTER AMERICAN THEATRE ORGAN SOCIETY INC,ME,711110.0,A65
575,10422788,2019,CODA CHORUS C/O ARLINE ANDREWS LOVEJOY,CODA CHORUS C/O ARLINE ANDREWS LOVEJOY,ME,711130.0,A6B
588,10428411,2015,MAINE COUNTRY MUSIC HALL OF FAME & MUSEUM,MAINE COUNTRY MUSIC ASSOCIATION,ME,711130.0,A6C
651,10443621,2016,WINDHAM CENTER STAGE THEATRE,WINDHAM CENTER STAGE THEATRE,ME,711110.0,A65
663,10446752,2019,HARMONY INC,HARMONY INC,ME,711130.0,A68
706,10454269,2019,FREEPORT COMMUNITY PLAYERS,FREEPORT COMMUNITY PLAYERS,ME,711110.0,A65
729,10458942,2019,COUNTRY DANCE AND SONG SOCIETY INC,COUNTRY DANCE AND SONG SOCIETY INC,ME,711120.0,A62
732,10459306,2017,WALDO THEATER INC,WALDO THEATER INC,ME,711100.0,A61
736,10460062,2019,SWEET CHARIOT MUSIC FESTIVAL,SWEET CHARIOT MUSIC FESTIVAL,MD,711130.0,A68
835,10475777,2018,LES CHANTEURS ACADIENS,LES CHANTEURS ACADIENS,ME,711100.0,A60
841,10477295,2019,PENOBSCOT BAY SINGERS,PENOBSCOT BAY SINGERS,ME,711130.0,A6B
843,10477551,2018,TAPESTRY SINGERS,TAPESTRY SINGERS,ME,711130.0,A6B
887,10484023,2019,WOMEN IN HARMONY,WOMEN IN HARMONY,ME,711130.0,A68
951,10494324,2019,WINTERPORT OPEN STAGE,WINTERPORT OPEN STAGE,ME,711110.0,A65
954,10494559,2018,BANGOR YOUTH BALLET,BANGOR YOUTH BALLET,ME,711120.0,A63
975,10497012,2019,REINDEER GROUP INC,REINDEER GROUP INC,ME,711100.0,A61
984,10498749,2019,BLUEGRASS MUSIC ASSOCIATION OF MAINE,BLUEGRASS MUSIC ASSOCIATION OF MAINE,ME,711130.0,A68
1013,10502400,2019,CASCO BAY CONCERT BAND,CASCO BAY CONCERT BAND,ME,711130.0,A6C
1018,10502943,2019,WASHINGTON COUNTY CHILDRENS CHORUS,WASHINGTON COUNTY CHILDRENS CHORUS,ME,711130.0,A6B
1044,10508193,2019,WINGERS,WINGERS,ME,711130.0,A6B
1071,10511236,2019,LAKE REGION COMMUNITY THEATRE INC,LAKE REGION COMMUNITY THEATRE INC,ME,711110.0,A65
1075,10511758,2019,BANGOR AREA YOUTH CHOIRS,BANGOR AREA YOUTH CHOIRS,ME,711130.0,A6B
