,EIN,tax_pd,contributed_rev,earned_program_service_rev,total_rev,total_exp,gross_rev,Source,45_of_Gross_max_10m,45_of_Earned_max_10m,100_of_Earned_upto_45_Gross_max_10m,NAME,STATE,NAICS,NTEEFINAL
3,10359659,201612,16455,0,16641,30900,16641,2017-990,7488.45,0.0,0.0,ELLSWORTH HISTORICAL SOCIETY,ME,712120.0,A82
12,10600248,201612,45326,759,46085,154011,46085,2017-990,20738.25,341.55,759.0,EASTERN NORTH CAROLINA REGIONAL SCIENCE CENTER INC,NC,712110.0,A57
132,43448956,201512,6753,750,7556,8216,7556,2017-990,3400.2000000000003,337.5,750.0,FRIENDS OF FENWAY STUDIOS INC,MA,712120.0,A80
167,46516086,201606,256679,816,372415,173673,387332,2017-990,174299.4,367.2,816.0,CAPTAIN FORBES HOUSE MUSEUM,MA,712120.0,A80
219,66068505,201612,10939,0,18799,165063,26671,2017-990,12001.95,0.0,0.0,BRANFORD HISTORICAL SOCIETY INC,CT,712120.0,A82
268,116049457,201603,229965,0,229965,194523,229965,2017-990,103484.25,0.0,0.0,BAYSIDE HISTORICAL SOCIETY,NY,712120.0,A82
279,133000468,201612,3494,2345,9246,45434,459883,2017-990,206947.35,1055.25,2345.0,PRESERVATION LEAGUE OF STATEN ISLAND,NY,712120.0,A82
359,141456816,201606,20346,3344,23698,52545,23698,2017-990,10664.1,1504.8,3344.0,ULSTER COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
369,141833387,201612,123283,0,123283,118931,123283,2017-990,55477.35,0.0,0.0,EDISON EXPLORATORIUM INC,NY,712110.0,A50
388,150614844,201612,54876,1970,202788,123838,217451,2017-990,97852.95,886.5,1970.0,SENECA FALLS HISTORICAL SOCIETY,NY,712120.0,A82
603,204741712,201612,2440,0,46656,28707,50686,2017-990,22808.7,0.0,0.0,RICHFIELD TOWN TRUST INCORPORATED,OH,712120.0,A80
741,223058063,201612,14995,7392,22499,38614,22529,2017-990,10138.050000000001,3326.4,7392.0,ARTILLERY COMPANY OF NEWPORT,RI,712120.0,A84
818,232674396,201512,81107,0,81107,125086,81107,2017-990,36498.15,0.0,0.0,HISTORIC ST PETERS CHURCH PRESERVATION CORP,PA,712120.0,A82
830,232937635,201512,6617,0,9732,8676,13121,2017-990,5904.45,0.0,0.0,WALLENPAUPACK HISTORICAL SOCIETY INC,PA,712120.0,A82
904,237128638,201706,1210,0,41603,18734,41630,2017-990,18733.5,0.0,0.0,NORDICA MEMORIAL ASSOCIATION INC,ME,712110.0,A54
991,237402806,201612,23724,0,28603,20040,28603,2017-990,12871.35,0.0,0.0,PLEASANT HILL HISTORICAL SOCIETY,MO,712120.0,A82
1013,237522498,201612,0,10500,20676,6962,678808,2017-990,305463.60000000003,4725.0,10500.0,DAUGHTERS OF AMERICA,TX,712120.0,A80
1014,237525671,201612,0,0,24804,16671,25275,2017-990,11373.75,0.0,0.0,SONS OF NORWAY,WA,712120.0,A80
1125,260700095,201612,0,0,0,0,0,2017-990,0.0,0.0,0.0,IDAHO AQUARIUM INC,ID,712130.0,D50
1584,274726818,201609,92136,0,91298,61826,92586,2017-990,41663.700000000004,0.0,0.0,NATIONAL MUSEUM OF ANIMALS & SOCIETY,CA,712110.0,A50
1617,300193523,201612,28057,0,28269,77165,28269,2017-990,12721.050000000001,0.0,0.0,COWLITZ RIVER VALLEY HISTORICAL SOCIETY,WA,712120.0,A82
1640,300599536,201612,14550,0,14550,11797,14550,2017-990,6547.5,0.0,0.0,FORGOTTEN IMAGES INC,CA,712110.0,A50
1683,311264689,201612,740000,0,741128,16752,741128,2017-990,333507.60000000003,0.0,0.0,PRESERVATION GREENSBORO DEVELOPMENT FUND INC,NC,712120.0,A80
1720,311635100,201612,2945808,0,2945808,43752,2945808,2017-990,1325613.6,0.0,0.0,SOCIETY FOR THE PRESERVATION OF PUTNAM CO ANTIQUITIES & GREENWAYS,NY,712120.0,A82
1723,311653082,201706,46263,0,47485,51595,50276,2017-990,22624.2,0.0,0.0,SOCIETY FOR THE PRESERVATION OF BRITISH TRANSPORTATION IN AMERICA,OH,712110.0,A50
1760,320170039,201612,411184,0,411184,5065,411184,2017-990,185032.80000000002,0.0,0.0,PROP AND JET AIR MUSEUM INC,CA,712110.0,A50
1925,351921889,201612,77929,4135,91597,38368,94920,2017-990,42714.0,1860.75,4135.0,MILITARY HONOR PARK AND MUSEUM INC,IN,712110.0,A54
1974,362936232,201609,332783,76953,452850,1112308,509052,2017-990,229073.4,34628.85,76953.0,CHICAGO METRO HISTORY EDUCATION CENTER,IL,712120.0,A80
2047,366086058,201612,23000,32272,67898,78226,67898,2017-990,30554.100000000002,14522.4,30554.100000000002,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,IL,712120.0,A80
2109,376332661,201706,1500,0,129276,123318,129276,2017-990,58174.200000000004,0.0,0.0,ILLINOIS HISTORIC PRESERVATION AGENCY TR,IL,712120.0,A82
2137,382405194,201709,40171,3030,43320,48127,43320,2017-990,19494.0,1363.5,3030.0,ELK RAPIDS AREA HISTORICAL SOCIETY,MI,712120.0,A82
2218,386101385,201605,3650,137,5561,15407,45561,2017-990,20502.45,61.65,137.0,BERNARD HISTORICAL SOCIETY MUSEUM,MI,712110.0,A50
