,100_of_Earned_upto_45_Gross_max_10m,45_of_Earned_max_10m,45_of_Gross_max_10m,EIN,Number of employees,Source,contributed_rev,earned_program_service_rev,gross_rev,tax_pd,total_exp,total_rev,NAME,STATE,NAICS,NTEEFINAL
3,0.0,0.0,7488.45,10359659,0,2017-990,16455,0,16641,201612,30900,16641,ELLSWORTH HISTORICAL SOCIETY,ME,712120.0,A82
12,759.0,341.55,20738.25,10600248,0,2017-990,45326,759,46085,201612,154011,46085,EASTERN NORTH CAROLINA REGIONAL SCIENCE CENTER INC,NC,712110.0,A57
132,750.0,337.5,3400.2000000000003,43448956,0,2017-990,6753,750,7556,201512,8216,7556,FRIENDS OF FENWAY STUDIOS INC,MA,712120.0,A80
167,816.0,367.2,174299.4,46516086,3,2017-990,256679,816,387332,201606,173673,372415,CAPTAIN FORBES HOUSE MUSEUM,MA,712120.0,A80
219,0.0,0.0,12001.95,66068505,0,2017-990,10939,0,26671,201612,165063,18799,BRANFORD HISTORICAL SOCIETY INC,CT,712120.0,A82
268,0.0,0.0,103484.25,116049457,5,2017-990,229965,0,229965,201603,194523,229965,BAYSIDE HISTORICAL SOCIETY,NY,712120.0,A82
279,2345.0,1055.25,206947.35,133000468,0,2017-990,3494,2345,459883,201612,45434,9246,PRESERVATION LEAGUE OF STATEN ISLAND,NY,712120.0,A82
359,3344.0,1504.8,10664.1,141456816,1,2017-990,20346,3344,23698,201606,52545,23698,ULSTER COUNTY HISTORICAL SOCIETY,NY,712120.0,A82
369,0.0,0.0,55477.35,141833387,3,2017-990,123283,0,123283,201612,118931,123283,EDISON EXPLORATORIUM INC,NY,712110.0,A50
388,1970.0,886.5,97852.95,150614844,3,2017-990,54876,1970,217451,201612,123838,202788,SENECA FALLS HISTORICAL SOCIETY,NY,712120.0,A82
603,0.0,0.0,22808.7,204741712,0,2017-990,2440,0,50686,201612,28707,46656,RICHFIELD TOWN TRUST INCORPORATED,OH,712120.0,A80
741,7392.0,3326.4,10138.050000000001,223058063,0,2017-990,14995,7392,22529,201612,38614,22499,ARTILLERY COMPANY OF NEWPORT,RI,712120.0,A84
