,EIN,tax_pd,contributed_rev,earned_program_service_rev,total_rev,total_exp,gross_rev,Source,45_of_Gross_max_12m,45_of_Earned_max_12m,100_of_Earned_upto_45_Gross_max_12m,NAME,STATE,NAICS,NTEEFINAL
1,10351796,201706,35494,162027,246169,227529,248413,2017-990,111785.85,72912.15000000001,12000000,CITY THEATER ASSOCIATES INC 205 MAIN ST,ME,711100.0,A60
13,10621026,201612,166095,0,166095,165722,166095,2017-990,74742.75,0.0,0,INSTITUTO MAZATLAN BELLAS ARTES DE SACRAMENTO,CA,711120.0,A62
15,10681629,201612,0,0,0,0,0,2017-990,0.0,0.0,0,THE ALCHEMISTS,NH,711110.0,A65
94,42104022,201609,252493,822787,1075317,1116916,1075317,2017-990,483892.65,370254.15,12000000,BOSTON CHILDRENS THEATRE INC,MA,711110.0,A65
190,61083202,201709,300873,465063,774848,875231,779062,2017-990,350577.9,209278.35,12000000,LITCHFIELD PERFORMING ARTS INC,CT,711100.0,A61
208,61639338,201612,1103144,0,1103267,219031,1103267,2017-990,496470.15,0.0,0,ARGENTINE-TANGO SOCIETY,NY,711120.0,A62
229,112561538,201609,306021,0,306026,589102,306026,2017-990,137711.7,0.0,0,SEASIDE SUMMER CONCERT SERIES INC,NY,711100.0,A60
230,112638417,201610,580400,0,580408,658629,580408,2017-990,261183.6,0.0,0,MARTIN LUTHER KING JR CONCERT SERIES INC,NY,711100.0,A61
278,132813806,201706,70277,1268419,1364970,1398575,1364970,2017-990,614236.5,570788.55,12000000,LES BALLETS TROCKADERO DE MONTE CARLO INC,NY,711120.0,A63
288,133215645,201612,172807,480378,916250,1235492,1017222,2017-990,457749.9,216170.1,12000000,CONEY ISLAND USA,NY,711100.0,A60
292,133347764,201612,16650,19718,134845,254465,134845,2017-990,60680.25,8873.1,19718,ARCHIVE OF CONTEMPORARY MUSIC,NY,711130.0,A68
306,133708592,201608,287467,0,287487,288122,287487,2017-990,129369.15000000001,0.0,0,LA COMPAGNIA DE COLOMBARI INC,NY,711110.0,A65
309,133735337,201608,244518,825865,1079979,1071505,1079979,2017-990,485990.55,371639.25,12000000,CLEMENTE SOTO VELEZ CULTURAL & EDUCATION CENTER INC,NY,711100.0,A60
352,136271927,201605,0,314845,314932,333864,314932,2017-990,141719.4,141680.25,12000000,OPERA ORCHESTRA OF NEW YORK INC,NY,711130.0,A69
363,141664004,201612,16534,352858,369398,232167,369398,2017-990,166229.1,158786.1,12000000,NEW YORK STATE THEATRE EDUCATION ASSOCIATION INC,NY,711110.0,A65
405,161530816,201612,113197,213072,326269,289378,326269,2017-990,146821.05000000002,95882.40000000001,12000000,SYRACUSE CITY BALLET INC,NY,711120.0,A63
473,201124903,201612,18150,16260,34410,55998,34410,2017-990,15484.5,7317.0,12000000,MUSIC WEST INCORPORATED,CA,711130.0,A68
474,201125609,201607,349798,180774,531123,587836,531123,2017-990,239005.35,81348.3,180774,ALARM WILL SOUND INC,NY,711130.0,A69
600,204525770,201612,160322,55603,230667,93236,230667,2017-990,103800.15000000001,25021.350000000002,55603,STRAND THEATRE OF SHELBYVILLEINCORPORATED,IN,711110.0,A65
605,204795044,201612,4287,0,5705,1022,5705,2017-990,2567.25,0.0,0,QUIXOTIC PERFORMANCE FUSION,MO,711120.0,A62
817,232628201,201701,28767,181887,210654,187223,210654,2017-990,94794.3,81849.15000000001,12000000,AVALON STRING BAND INC,PA,711130.0,A6C
841,233091629,201606,236757,0,236774,240321,236774,2017-990,106548.3,0.0,0,HATTERS FOR MUSIC,PA,711130.0,A68
931,237193645,201706,247611,235016,505607,590913,505607,2017-990,227523.15,105757.2,12000000,PLAYERS BY THE SEA INC,FL,711110.0,A65
