,100_of_Earned_upto_45_Gross_max_10m,45_of_Earned_max_10m,45_of_Gross_max_10m,EIN,Number of employees,Source,contributed_rev,earned_program_service_rev,gross_rev,tax_pd,total_exp,total_rev,NAME,STATE,NAICS,NTEEFINAL
1,111785.85,72912.15000000001,111785.85,10351796,1,2017-990,35494,162027,248413,201706,227529,246169,CITY THEATER ASSOCIATES INC 205 MAIN ST,ME,711100.0,A60
13,0.0,0.0,74742.75,10621026,0,2017-990,166095,0,166095,201612,165722,166095,INSTITUTO MAZATLAN BELLAS ARTES DE SACRAMENTO,CA,711120.0,A62
15,0.0,0.0,0.0,10681629,0,2017-990,0,0,0,201612,0,0,THE ALCHEMISTS,NH,711110.0,A65
94,483892.65,370254.15,483892.65,42104022,19,2017-990,252493,822787,1075317,201609,1116916,1075317,BOSTON CHILDRENS THEATRE INC,MA,711110.0,A65
190,350577.9,209278.35,350577.9,61083202,5,2017-990,300873,465063,779062,201709,875231,774848,LITCHFIELD PERFORMING ARTS INC,CT,711100.0,A61
208,0.0,0.0,496470.15,61639338,0,2017-990,1103144,0,1103267,201612,219031,1103267,ARGENTINE-TANGO SOCIETY,NY,711120.0,A62
229,0.0,0.0,137711.7,112561538,4,2017-990,306021,0,306026,201609,589102,306026,SEASIDE SUMMER CONCERT SERIES INC,NY,711100.0,A60
230,0.0,0.0,261183.6,112638417,16,2017-990,580400,0,580408,201610,658629,580408,MARTIN LUTHER KING JR CONCERT SERIES INC,NY,711100.0,A61
278,614236.5,570788.55,614236.5,132813806,28,2017-990,70277,1268419,1364970,201706,1398575,1364970,LES BALLETS TROCKADERO DE MONTE CARLO INC,NY,711120.0,A63
288,457749.9,216170.1,457749.9,133215645,35,2017-990,172807,480378,1017222,201612,1235492,916250,CONEY ISLAND USA,NY,711100.0,A60
292,19718.0,8873.1,60680.25,133347764,0,2017-990,16650,19718,134845,201612,254465,134845,ARCHIVE OF CONTEMPORARY MUSIC,NY,711130.0,A68
306,0.0,0.0,129369.15000000001,133708592,0,2017-990,287467,0,287487,201608,288122,287487,LA COMPAGNIA DE COLOMBARI INC,NY,711110.0,A65
309,485990.55,371639.25,485990.55,133735337,17,2017-990,244518,825865,1079979,201608,1071505,1079979,CLEMENTE SOTO VELEZ CULTURAL & EDUCATION CENTER INC,NY,711100.0,A60
352,141719.4,141680.25,141719.4,136271927,3,2017-990,0,314845,314932,201605,333864,314932,OPERA ORCHESTRA OF NEW YORK INC,NY,711130.0,A69
363,166229.1,158786.1,166229.1,141664004,0,2017-990,16534,352858,369398,201612,232167,369398,NEW YORK STATE THEATRE EDUCATION ASSOCIATION INC,NY,711110.0,A65
405,146821.05000000002,95882.40000000001,146821.05000000002,161530816,3,2017-990,113197,213072,326269,201612,289378,326269,SYRACUSE CITY BALLET INC,NY,711120.0,A63
473,15484.5,7317.0,15484.5,201124903,0,2017-990,18150,16260,34410,201612,55998,34410,MUSIC WEST INCORPORATED,CA,711130.0,A68
474,180774.0,81348.3,239005.35,201125609,2,2017-990,349798,180774,531123,201607,587836,531123,ALARM WILL SOUND INC,NY,711130.0,A69
600,55603.0,25021.350000000002,103800.15000000001,204525770,0,2017-990,160322,55603,230667,201612,93236,230667,STRAND THEATRE OF SHELBYVILLEINCORPORATED,IN,711110.0,A65
605,0.0,0.0,2567.25,204795044,0,2017-990,4287,0,5705,201612,1022,5705,QUIXOTIC PERFORMANCE FUSION,MO,711120.0,A62
817,94794.3,81849.15000000001,94794.3,232628201,0,2017-990,28767,181887,210654,201701,187223,210654,AVALON STRING BAND INC,PA,711130.0,A6C
841,0.0,0.0,106548.3,233091629,0,2017-990,236757,0,236774,201606,240321,236774,HATTERS FOR MUSIC,PA,711130.0,A68
931,227523.15,105757.2,227523.15,237193645,8,2017-990,247611,235016,505607,201706,590913,505607,PLAYERS BY THE SEA INC,FL,711110.0,A65
1053,765.0,765.0,765.0,251234617,0,2017-990,0,1700,1700,201609,115911,1700,AMERICAN WIND SYMPHONY ORCHESTRA,PA,711130.0,A69
1163,56490.3,43304.4,56490.3,261560071,5,2017-990,28764,96232,125534,201608,177890,125534,FABREFACTION THEATRE COMPANY INC,GA,711110.0,A65
1176,0.0,0.0,121031.1,262097692,0,2017-990,268958,0,268958,201612,253982,268958,SOUL TREE COLLECTIVE INC,TX,711130.0,A68
1216,60161.4,40198.5,60161.4,262701068,1,2017-990,44362,89330,133692,201612,124535,133692,DREAMALITY INC,NJ,711120.0,A62
1249,38388.0,17274.600000000002,92170.8,263427068,0,2017-990,163521,38388,204824,201608,201719,204824,T-BONE WALKER BLUES FEST INC,TX,711130.0,A68
1330,1871.0,841.95,52505.1,270099311,0,2017-990,114807,1871,116678,201612,116678,116678,BODY RHYTHM DANCE THEATRE,MI,711120.0,A62
1512,670.0,301.5,46870.200000000004,273308214,1,2017-990,95715,670,104156,201709,50495,102426,HURON PLAYHOUSE,OH,711100.0,A61
1563,32105.0,14447.25,32354.100000000002,274457450,0,2017-990,39793,32105,71898,201612,59245,71898,SARAH MICHELSON INC,NY,711120.0,A62
1585,357361.65,276227.10000000003,357361.65,274754146,6,2017-990,95700,613838,794137,201612,901783,756370,THORN PRODUCTIONS,CO,711110.0,A65
1590,0.0,0.0,0.0,275035675,0,2017-990,0,0,0,201612,70,0,OPERA BRAVURA ENTERTAINMENT INC,CA,711130.0,A6A
1615,150773.4,110861.1,150773.4,300189270,0,2017-990,84498,246358,335052,201612,328534,335052,CONTACT ARTS,CA,711120.0,A62
1699,0.0,0.0,0.0,311492869,0,2017-990,0,0,0,201512,0,0,OHIO VALLEY SCOTTISH SOCIETY INC,OH,711120.0,A62
1799,72175.95,72175.95,72175.95,330893362,0,2017-990,0,160391,160391,201612,155732,160391,SAN DIEGO MUSIC FOUNDATION,CA,711130.0,A68
1880,0.0,0.0,0.0,346556556,0,2017-990,0,0,0,201612,0,0,SQUARE BUILDING COMPANY,OH,711100.0,A60
1905,0.0,0.0,293984.10000000003,351526287,0,2017-990,4922,0,653298,201612,39476,46041,DEKALB CENTRAL MUSIC ASSOCIATION INC,IN,711130.0,A68
1975,170257.5,110138.40000000001,170257.5,362962448,7,2017-990,119665,244752,378350,201606,509839,378350,LIRA ENSEMBLE INC,IL,711130.0,A6B
2049,28584.9,16007.4,28584.9,367413361,0,2017-990,27950,35572,63522,201612,57206,63522,OJAI PERFORMING ARTS THEATER FOUNDATION,CA,711100.0,A60
2259,0.0,0.0,123763.95,392071850,12,2017-990,274648,0,275031,201705,300101,275031,LEHRERDANCE INC,NY,711120.0,A62
2282,0.0,0.0,127260.90000000001,411346137,10,2017-990,10299,0,282802,201604,15739,-3371,JOHNSON AREA HOCKEY ASSOCIATION,MN,711130.0,A68
2311,0.0,0.0,8404.2,412043064,0,2017-990,18387,0,18676,201612,13543,18676,ALL JOIN HANDS FOUNDATION LTD,AZ,711120.0,A62
2393,14539.95,7977.6,14539.95,431691563,0,2017-990,3956,17728,32311,201703,51127,32311,KIRKWOOD CHILDRENS CHORALE INC,MO,711130.0,A6B
2483,89645.85,86664.6,89645.85,453015297,3,2017-990,6625,192588,199213,201707,212893,199213,PHOENIX DANCE COOPERATIVE INC,AZ,711120.0,A62
2517,0.0,0.0,8800.2,453787563,0,2017-990,19556,0,19556,201612,18537,19556,ANNEX DANCE COMPANY,SC,711120.0,A62
2544,48358.0,21761.100000000002,52134.75,454255940,0,2017-990,48632,48358,115855,201612,115843,112823,POST5 THEATRE,OR,711110.0,A65
2598,0.0,0.0,0.0,455332180,0,2017-990,0,0,0,201612,0,0,AMERICA AFRO DANCE,FL,711120.0,A62
2616,0.0,0.0,0.0,455556075,0,2017-990,0,0,0,201612,344,0,SHAKE THE GROUND INC,FL,711120.0,A62
2635,14887.800000000001,7031.25,14887.800000000001,460584314,0,2017-990,17034,15625,33084,201612,38823,33084,ANIMALPALOOZA ANIMAL BENEFIT & MUSIC FESTIVAL,IN,711130.0,A68
2657,0.0,0.0,128425.05,460867729,0,2017-990,285389,0,285389,201612,231300,285389,RED CAT JAZZ PRESERVATION SOCIETY INC,TX,711130.0,A6C
2794,157017.6,96617.25,157017.6,463150092,18,2017-990,134203,214705,348928,201612,221175,348928,LITTLE TURTLES PLAYHOUSE INC,WI,711100.0,A61
2869,0.0,0.0,904.0500000000001,464379583,0,2017-990,2009,0,2009,201312,688,2009,CONCERT OF HOPE COMMUNITY OUTREACH,CA,711130.0,A68
2874,0.0,0.0,202314.6,464454508,0,2017-990,449588,0,449588,201612,644704,449588,COLOUR OF MUSIC INC,SC,711130.0,A68
2877,0.0,0.0,0.0,464494473,0,2017-990,0,0,0,201512,0,0,WOMEN IN MUSIC AYO CORP,FL,711130.0,A68
2922,0.0,0.0,15920.1,465408339,0,2017-990,35374,0,35378,201605,26145,35378,WIREGRASS BLUES SOCIETY,AL,711130.0,A68
2986,0.0,0.0,6750.0,471206005,0,2017-990,15000,0,15000,201612,0,15000,INNOVATION MUSIC AND PERFORMING ARTS CONSERVATORY INC,NJ,711100.0,A60
3090,26793.0,26743.5,26793.0,472972162,0,2017-990,0,59430,59540,201612,22690,59540,PALM SPRINGS SWING & MIX 2017,CA,711120.0,A62
3170,0.0,0.0,0.0,474328369,0,2017-990,0,0,0,201512,0,0,TEXAS MUSIC EXPERIENCE,TX,711130.0,A68
3217,0.0,0.0,2283.75,475228790,0,2017-990,5075,0,5075,201612,5108,5075,LONE STAR COUNTRY DANCE SCHOLARSHIP FUND,TX,711120.0,A62
3269,0.0,0.0,11911.5,510169632,51,2017-990,26470,0,26470,201609,27630,26470,MIDSUMMER MOZART,CA,711130.0,A69
3429,5089.05,5078.7,5089.05,541256173,0,2017-990,0,11286,11309,201606,6741,11309,CRATER DEVELOPMENT COMPANY,VA,711100.0,A60
3517,57734.1,34070.4,57734.1,561437061,2,2017-990,52584,75712,128298,201606,196451,128298,LINCOLN CULTURAL DEVELOPMENT CENTER INC,NC,711100.0,A60
3549,173393.55000000002,112641.3,173393.55000000002,562372844,2,2017-990,127655,250314,385319,201606,400730,385319,TEXAS REPERTORY THEATRE COMPANY INC,TX,711110.0,A65
3678,476833.95,404976.60000000003,476833.95,592292246,51,2017-990,129660,899948,1059631,201706,1082866,1059631,ARTS POWER INC,NJ,711100.0,A60
3686,0.0,0.0,662.4,592720565,0,2017-990,420,0,1472,201612,530,1472,CITRUS COUNTY CHAPTER OF THE SOCIETY FOR THE PRESERVATION,FL,711130.0,A6B
3786,0.0,0.0,5400.0,621425459,0,2017-990,12000,0,12000,201612,6811,12000,PADUCAH CHAMBER MUSIC SOCIETY INC,KY,711130.0,A6C
3877,0.0,0.0,158845.95,650980096,0,2017-990,12015,0,352991,201612,163651,162921,AIMM HIGHER INC,FL,711100.0,A60
3883,64948.05,64948.05,64948.05,651149943,0,2017-990,0,144329,144329,201704,166179,144329,MCINTYRE INSTITUTE INC,FL,711120.0,A62
3919,12946.050000000001,6634.8,12946.050000000001,680350202,3,2017-990,14025,14744,28769,201606,26657,28769,WOODLAND CHAMBER SINGERS,CA,711130.0,A6B
3930,0.0,0.0,34501.950000000004,680560431,0,2017-990,76671,0,76671,201706,123775,76671,SECOND CHANCE GOSPEL MUSIC CONVENTION INC,NJ,711130.0,A6B
3995,126712.8,63166.05,126712.8,721317229,8,2017-990,128021,140369,281584,201606,360213,281584,GREATER NEW ORLEANS YOUTH ORCHESTRA,LA,711130.0,A69
4080,41064.75,21489.75,41064.75,742119204,0,2017-990,43500,47755,91255,201612,93550,91255,NUMBER 1 PLAYS & PLAYERS,TX,711110.0,A65
4169,51705.450000000004,26160.3,51705.450000000004,751461008,0,2017-990,56671,58134,114901,201606,66433,114901,LAMPLITE PLAYERS,TX,711110.0,A65
4784,502758.0,226346.85,502758.0,910695565,35,2017-990,405852,502993,1117240,201706,1154848,1093850,SPOKANE CIVIC THEATRE INC,WA,711110.0,A65
4788,187496.1,184763.25,187496.1,910987047,11,2017-990,2126,410585,416658,201706,396161,416658,CASCADE YOUTH SYMPHONY,WA,711130.0,A69
4935,0.0,0.0,0.0,943020085,0,2017-990,0,0,0,201406,0,0,NUBA DANCE THEATRE,NC,711120.0,A62
4956,0.0,0.0,23581.8,943215211,0,2017-990,49292,0,52404,201612,13951,50275,THE COMPLINE CHOIR,WA,711130.0,A6B
